symbol,name,asset_type,exchange,currency,sector,provider_symbol,is_active,priority
AAPL,Apple Inc,STOCK,NASDAQ,USD,Technology,AAPL,1,1
MSFT,Microsoft Corp,STOCK,NASDAQ,USD,Technology,MSFT,1,2
NVDA,NVIDIA Corp,STOCK,NASDAQ,USD,Technology,NVDA,1,3
AMZN,Amazon.com Inc,STOCK,NASDAQ,USD,Consumer Discretionary,AMZN,1,4
GOOGL,Alphabet Inc Class A,STOCK,NASDAQ,USD,Communication Services,GOOGL,1,5
META,Meta Platforms Inc,STOCK,NASDAQ,USD,Communication Services,META,1,6
TSLA,Tesla Inc,STOCK,NASDAQ,USD,Consumer Discretionary,TSLA,1,7
BRK.B,Berkshire Hathaway Class B,STOCK,NYSE,USD,Financials,BRK.B,1,8
LLY,Eli Lilly and Co,STOCK,NYSE,USD,Health Care,LLY,1,9
AVGO,Broadcom Inc,STOCK,NASDAQ,USD,Technology,AVGO,1,10
JPM,JPMorgan Chase and Co,STOCK,NYSE,USD,Financials,JPM,1,11
V,Visa Inc,STOCK,NYSE,USD,Financials,V,1,12
UNH,UnitedHealth Group Inc,STOCK,NYSE,USD,Health Care,UNH,1,13
XOM,Exxon Mobil Corp,STOCK,NYSE,USD,Energy,XOM,1,14
MA,Mastercard Inc,STOCK,NYSE,USD,Financials,MA,1,15
JNJ,Johnson and Johnson,STOCK,NYSE,USD,Health Care,JNJ,1,16
PG,Procter and Gamble Co,STOCK,NYSE,USD,Consumer Staples,PG,1,17
HD,Home Depot Inc,STOCK,NYSE,USD,Consumer Discretionary,HD,1,18
COST,Costco Wholesale Corp,STOCK,NASDAQ,USD,Consumer Staples,COST,1,19
ABBV,AbbVie Inc,STOCK,NYSE,USD,Health Care,ABBV,1,20
MRK,Merck and Co Inc,STOCK,NYSE,USD,Health Care,MRK,1,21
NFLX,Netflix Inc,STOCK,NASDAQ,USD,Communication Services,NFLX,1,22
CRM,Salesforce Inc,STOCK,NYSE,USD,Technology,CRM,1,23
AMD,Advanced Micro Devices Inc,STOCK,NASDAQ,USD,Technology,AMD,1,24
ADBE,Adobe Inc,STOCK,NASDAQ,USD,Technology,ADBE,1,25
KO,Coca-Cola Co,STOCK,NYSE,USD,Consumer Staples,KO,1,26
PEP,PepsiCo Inc,STOCK,NASDAQ,USD,Consumer Staples,PEP,1,27
BAC,Bank of America Corp,STOCK,NYSE,USD,Financials,BAC,1,28
WMT,Walmart Inc,STOCK,NYSE,USD,Consumer Staples,WMT,1,29
ORCL,Oracle Corp,STOCK,NYSE,USD,Technology,ORCL,1,30
TMO,Thermo Fisher Scientific Inc,STOCK,NYSE,USD,Health Care,TMO,1,31
CSCO,Cisco Systems Inc,STOCK,NASDAQ,USD,Technology,CSCO,1,32
ACN,Accenture plc,STOCK,NYSE,USD,Technology,ACN,1,33
MCD,McDonald's Corp,STOCK,NYSE,USD,Consumer Discretionary,MCD,1,34
LIN,Linde plc,STOCK,NASDAQ,USD,Materials,LIN,1,35
ABT,Abbott Laboratories,STOCK,NYSE,USD,Health Care,ABT,1,36
DIS,Walt Disney Co,STOCK,NYSE,USD,Communication Services,DIS,1,37
DHR,Danaher Corp,STOCK,NYSE,USD,Health Care,DHR,1,38
INTC,Intel Corp,STOCK,NASDAQ,USD,Technology,INTC,1,39
IBM,International Business Machines Corp,STOCK,NYSE,USD,Technology,IBM,1,40
QCOM,Qualcomm Inc,STOCK,NASDAQ,USD,Technology,QCOM,1,41
TXN,Texas Instruments Inc,STOCK,NASDAQ,USD,Technology,TXN,1,42
CAT,Caterpillar Inc,STOCK,NYSE,USD,Industrials,CAT,1,43
GE,GE Aerospace,STOCK,NYSE,USD,Industrials,GE,1,44
NOW,ServiceNow Inc,STOCK,NYSE,USD,Technology,NOW,1,45
AMAT,Applied Materials Inc,STOCK,NASDAQ,USD,Technology,AMAT,1,46
UBER,Uber Technologies Inc,STOCK,NYSE,USD,Industrials,UBER,1,47
INTU,Intuit Inc,STOCK,NASDAQ,USD,Technology,INTU,1,48
PFE,Pfizer Inc,STOCK,NYSE,USD,Health Care,PFE,1,49
NKE,Nike Inc,STOCK,NYSE,USD,Consumer Discretionary,NKE,1,50
SPGI,S&P Global Inc,STOCK,NYSE,USD,Financials,SPGI,1,51
GS,Goldman Sachs Group Inc,STOCK,NYSE,USD,Financials,GS,1,52
MS,Morgan Stanley,STOCK,NYSE,USD,Financials,MS,1,53
RTX,RTX Corp,STOCK,NYSE,USD,Industrials,RTX,1,54
HON,Honeywell International Inc,STOCK,NASDAQ,USD,Industrials,HON,1,55
LOW,Lowe's Companies Inc,STOCK,NYSE,USD,Consumer Discretionary,LOW,1,56
BKNG,Booking Holdings Inc,STOCK,NASDAQ,USD,Consumer Discretionary,BKNG,1,57
SBUX,Starbucks Corp,STOCK,NASDAQ,USD,Consumer Discretionary,SBUX,1,58
SHOP,Shopify Inc,STOCK,NYSE,USD,Technology,SHOP,1,59
SAP,SAP SE,STOCK,NYSE,USD,Technology,SAP,1,60
ASML,ASML Holding NV,STOCK,NASDAQ,USD,Technology,ASML,1,61
TSM,Taiwan Semiconductor Manufacturing Co,STOCK,NYSE,USD,Technology,TSM,1,62
